IP地址,端口,TLS,城市,TCP延迟(ms),速度(MB/s)
34.118.82.175,443,TRUE,Frankfurt,208,4.43
34.65.169.189,443,TRUE,Frankfurt,180,4.43
34.118.121.235,443,TRUE,Frankfurt,198,4.42
34.159.33.181,443,TRUE,Frankfurt,156,4.41
34.65.97.237,443,TRUE,Singapore,181,4.4
34.65.106.214,443,TRUE,Frankfurt,176,4.39
34.116.198.118,443,TRUE,Frankfurt,245,4.38
34.116.214.251,443,TRUE,Frankfurt,189,4.35
34.65.38.18,443,TRUE,Frankfurt,179,4.34
34.118.46.250,443,TRUE,Frankfurt,210,4.31
34.118.82.162,443,TRUE,Singapore,194,4.29
34.116.244.60,443,TRUE,Amsterdam,257,4.22
34.65.151.47,443,TRUE,Frankfurt,173,4.19
34.116.206.127,443,TRUE,Frankfurt,239,4.11
34.65.84.132,443,TRUE,Amsterdam,177,4.1
34.118.114.236,443,TRUE,Frankfurt,207,4.1
34.65.7.101,443,TRUE,Frankfurt,179,4.03
34.116.219.69,443,TRUE,Amsterdam,184,4.01
34.118.32.6,443,TRUE,Amsterdam,187,4.01
34.65.181.48,443,TRUE,Frankfurt,167,3.99
34.65.94.94,443,TRUE,Frankfurt,187,3.99
34.65.182.101,443,TRUE,Frankfurt,180,3.96
34.65.43.234,443,TRUE,Frankfurt,165,3.96
34.116.245.40,443,TRUE,Frankfurt,185,3.96
34.65.205.105,443,TRUE,Frankfurt,180,3.93
34.65.214.30,443,TRUE,Frankfurt,166,3.9
34.65.221.128,443,TRUE,Frankfurt,174,3.89
34.118.42.177,443,TRUE,Frankfurt,189,3.87
34.118.50.212,443,TRUE,Frankfurt,173,3.86
34.65.7.63,443,TRUE,Frankfurt,187,3.84
34.65.167.176,443,TRUE,Frankfurt,166,3.84
34.65.114.26,443,TRUE,Frankfurt,178,3.83
34.65.151.47,443,TRUE,Frankfurt,176,3.83
34.65.94.94,443,TRUE,Frankfurt,166,3.81
34.65.206.244,443,TRUE,Frankfurt,168,3.81
34.65.197.0,443,TRUE,Frankfurt,179,3.78
34.118.24.250,443,TRUE,Frankfurt,200,3.72
34.116.222.145,443,TRUE,Frankfurt,285,3.72
34.65.35.178,443,TRUE,Frankfurt,178,3.68
34.65.150.119,443,TRUE,Frankfurt,175,3.67
34.65.198.178,443,TRUE,Frankfurt,191,3.66
34.118.7.118,443,TRUE,Frankfurt,241,3.62
34.65.96.247,443,TRUE,Frankfurt,199,3.61
34.65.206.57,443,TRUE,Frankfurt,174,3.61
34.65.26.43,443,TRUE,Frankfurt,193,3.59
34.118.99.192,443,TRUE,Frankfurt,212,3.56
34.65.35.178,443,TRUE,Frankfurt,176,3.55
34.116.145.162,443,TRUE,Frankfurt,184,3.55
34.65.229.235,443,TRUE,Frankfurt,184,3.55
34.65.64.244,443,TRUE,Frankfurt,179,3.53
34.65.4.95,443,TRUE,Frankfurt,178,3.51
34.65.43.234,443,TRUE,Frankfurt,183,3.49
34.65.26.169,443,TRUE,Frankfurt,209,3.47
34.116.174.240,443,TRUE,Frankfurt,202,3.46
34.65.106.25,443,TRUE,Frankfurt,177,3.46
34.65.78.72,443,TRUE,Frankfurt,182,3.45
34.118.101.53,443,TRUE,Frankfurt,220,3.41
34.65.20.102,443,TRUE,Frankfurt,198,3.35
34.65.198.73,443,TRUE,Frankfurt,172,3.33
34.65.106.214,443,TRUE,Frankfurt,180,3.32
34.118.30.198,443,TRUE,Frankfurt,187,3.32
34.65.86.254,443,TRUE,Frankfurt,175,3.31
34.65.69.203,443,TRUE,Frankfurt,188,3.27
34.118.49.153,443,TRUE,Frankfurt,196,3.25
34.65.44.52,443,TRUE,Frankfurt,174,3.2
34.118.40.155,443,TRUE,Frankfurt,186,3.18
34.65.189.65,443,TRUE,Frankfurt,227,3.18
34.116.137.114,443,TRUE,Frankfurt,202,3.16
34.65.18.221,443,TRUE,Amsterdam,177,3.14
34.116.251.225,443,TRUE,Frankfurt,187,3.09
34.118.63.12,443,TRUE,Frankfurt,201,3.01
34.65.97.68,443,TRUE,Frankfurt,188,3
34.145.66.39,8080,FALSE,Chennai,425,2.99
34.147.101.117,2096,FALSE,Amsterdam,162,2.97
34.118.8.60,443,TRUE,Frankfurt,190,2.95
34.65.29.231,443,TRUE,Frankfurt,178,2.94
34.118.46.250,443,TRUE,Frankfurt,202,2.92
34.116.228.34,443,TRUE,Frankfurt,185,2.89
34.118.113.252,443,TRUE,Frankfurt,185,2.88
34.65.123.250,443,TRUE,Frankfurt,189,2.86
34.65.233.74,443,TRUE,Frankfurt,179,2.83
34.65.206.57,443,TRUE,Singapore,203,2.82
34.118.118.199,443,TRUE,Frankfurt,186,2.8
34.116.175.112,443,TRUE,Frankfurt,225,2.8
34.145.66.39,8080,FALSE,Chennai,410,2.79
34.118.57.46,443,TRUE,Frankfurt,187,2.79
34.65.119.116,443,TRUE,Frankfurt,180,2.76
34.118.11.220,443,TRUE,Frankfurt,185,2.74
34.175.168.99,2052,FALSE,Madrid,181,2.71
34.147.101.117,2083,FALSE,Amsterdam,162,2.71
34.65.84.132,443,TRUE,Paris,184,2.69
34.65.51.65,443,TRUE,Frankfurt,187,2.69
34.116.175.112,443,TRUE,Frankfurt,188,2.69
34.175.133.251,2095,FALSE,Madrid,178,2.68
34.147.101.117,2082,FALSE,Amsterdam,162,2.68
34.116.215.179,443,TRUE,Frankfurt,189,2.67
34.147.101.117,2086,FALSE,Amsterdam,160,2.67
34.118.100.30,443,TRUE,Frankfurt,186,2.66
34.175.133.251,2082,FALSE,Madrid,179,2.66
34.175.95.58,2053,FALSE,Madrid,180,2.66
34.118.121.61,443,TRUE,Frankfurt,195,2.66
34.116.184.196,443,TRUE,Frankfurt,192,2.65
34.175.95.58,2086,FALSE,Madrid,179,2.65
34.118.91.146,443,TRUE,Frankfurt,186,2.63
34.175.95.58,2083,FALSE,Madrid,181,2.62
34.65.43.197,443,TRUE,Frankfurt,190,2.62
34.140.239.154,2086,FALSE,Paris,164,2.61
34.65.84.112,443,TRUE,Frankfurt,178,2.61
34.175.133.251,2087,FALSE,Madrid,178,2.6
34.118.91.168,443,TRUE,Frankfurt,188,2.59
34.118.121.235,443,TRUE,Frankfurt,188,2.58
34.118.49.212,443,TRUE,Frankfurt,183,2.54
34.147.101.117,2087,FALSE,Amsterdam,164,2.52
34.147.101.117,2095,FALSE,Amsterdam,163,2.5
34.65.198.73,443,TRUE,Munich,189,2.5
34.147.82.194,2053,FALSE,Amsterdam,161,2.49
34.118.121.24,443,TRUE,Frankfurt,176,2.48
34.175.99.73,2082,FALSE,Madrid,177,2.48
34.175.133.251,2052,FALSE,Madrid,179,2.47
34.175.161.245,2086,FALSE,Madrid,179,2.47
34.147.101.117,2053,FALSE,Amsterdam,160,2.46
34.175.95.58,2052,FALSE,Madrid,177,2.45
